"","mz","polarity","p_value"
"1",70.0650046591191,"positive",2.17717845742118
"2",71.4385728149841,"positive",3.13577196027283
"3",73.0086769518628,"positive",2.98155276232412
"4",73.2717868930144,"positive",5.8770282631784
"5",75.4372488671767,"positive",1.68884389419581
"6",81.069795355829,"positive",4.16437939210864
"7",81.0698322361237,"positive",2.73683059918489
"8",83.0602727812048,"positive",1.76064825793943
"9",84.0443497951659,"positive",2.203327917323
"10",84.0443534032423,"positive",2.20585216912301
"11",84.0443270595528,"positive",1.71411304509266
"12",88.0214504294633,"positive",2.17717845742118
"13",93.0696406564484,"positive",6.19404275306038
"14",95.0238611367155,"positive",1.63768899017754
"15",95.0853915981942,"positive",4.90735856940298
"16",96.0442797723783,"positive",5.31998712518384
"17",96.0887116342545,"positive",4.58931109097589
"18",97.0475574023669,"positive",1.5283733799184
"19",98.0600329661703,"positive",4.00831718110252
"20",103.054071507504,"positive",1.54176718180583
"21",104.057439523403,"positive",1.73142252022125
"22",104.070467507575,"positive",1.57942467713228
"23",104.106999698802,"positive",2.36591561804094
"24",105.069969541621,"positive",5.60688399840261
"25",106.049630456669,"positive",2.67219238813735
"26",107.08521978638,"positive",3.22843019400178
"27",109.101011607698,"positive",3.01178049533372
"28",111.080249173653,"positive",2.5295011674708
"29",117.069633603606,"positive",2.3152471317578
"30",119.085289005201,"positive",3.15527158954676
"31",121.100973023714,"positive",4.2168457301434
"32",122.104313975182,"positive",3.18215960335224
"33",123.007445267805,"positive",6.27863242260423
"34",123.116608940838,"positive",3.58996048434598
"35",124.050460790714,"positive",2.03077315271464
"36",126.054912094308,"positive",4.02124665539177
"37",126.06597643597,"positive",3.60156810885136
"38",128.106951870786,"positive",1.38479755389517
"39",129.065728298913,"positive",1.38837541988017
"40",131.053076514894,"positive",1.41098497389323
"41",131.097477129954,"positive",1.31592996131042
"42",135.116737940533,"positive",1.87037408222629
"43",135.116706865059,"positive",7.61933286952209
"44",136.120153962895,"positive",7.2734101634454
"45",138.002794137697,"positive",1.49447784775935
"46",138.054934482211,"positive",3.63491773044607
"47",138.091358572958,"positive",1.30211467687246
"48",138.107307795466,"positive",2.39279195016095
"49",139.05825107312,"positive",6.21466059394827
"50",140.059202904385,"positive",2.52723920543033
"51",141.018150601175,"positive",6.57016186153922
"52",142.021578079624,"positive",1.3176644980102
"53",144.065516487501,"positive",4.24866571473208
"54",145.068845626361,"positive",3.55217973474866
"55",145.097169522923,"positive",4.40132517122182
"56",147.07647000066,"positive",3.13916513110344
"57",147.116746274731,"positive",4.88148294284445
"58",149.132442091562,"positive",5.90256252389697
"59",149.132482543978,"positive",1.64543598460009
"60",150.135785611506,"positive",5.632932547604
"61",151.061345340834,"positive",1.74997249372946
"62",151.111710934672,"positive",1.626439926392
"63",155.033814344993,"positive",4.2330643106738
"64",157.064931882435,"positive",6.29207700523128
"65",158.059980194847,"positive",1.44365575846294
"66",158.068222978525,"positive",2.04582191245818
"67",159.028722643953,"positive",5.42244734344401
"68",159.02890054277,"positive",3.37122452401489
"69",159.080426651746,"positive",2.34747140272315
"70",159.112757238954,"positive",1.70649251531847
"71",159.116767292809,"positive",1.30455185143633
"72",160.032094243528,"positive",5.60907364410032
"73",160.133159300855,"positive",2.17977930924519
"74",161.136441389699,"positive",2.02330483937639
"75",161.132410821874,"positive",6.12033078811921
"76",162.05491731345,"positive",1.39187873311147
"77",163.147927714183,"positive",5.632932547604
"78",164.151353633177,"positive",1.67520686564675
"79",165.163693351038,"positive",3.94311437554438
"80",166.003327486521,"positive",2.65124901932538
"81",166.072320833437,"positive",1.7672402734732
"82",166.141349296591,"positive",1.86522804057771
"83",167.075353600874,"positive",1.82769636302183
"84",168.065482998686,"positive",6.46772932706257
"85",168.077487878268,"positive",1.39187873311147
"86",169.068837661181,"positive",3.04258990276467
"87",170.567049783168,"positive",1.65337896742796
"88",172.060238583397,"positive",1.50305265920238
"89",172.057172555789,"positive",2.17717845742118
"90",172.096804414962,"positive",1.92778245523207
"91",173.128523584675,"positive",1.34250038400826
"92",174.131737256073,"positive",1.50843512357345
"93",175.086580899127,"positive",1.44481419333726
"94",175.148054606897,"positive",6.80621643441558
"95",176.091795306626,"positive",1.52838216070504
"96",176.151398526813,"positive",6.21466059394827
"97",177.102148443957,"positive",1.52846389760589
"98",177.163684757906,"positive",3.51290507537767
"99",178.086310327752,"positive",2.24914967937584
"100",180.087958658175,"positive",4.6897030324511
"101",184.554790144023,"positive",1.74398191774403
"102",186.076100441217,"positive",3.6982746572808
"103",187.079353829387,"positive",6.72181313439614
"104",187.107548617607,"positive",1.46223112052963
"105",187.14803805469,"positive",3.66999171092248
"106",188.080087131578,"positive",2.16979421235193
"107",189.123370490651,"positive",1.64350750402497
"108",189.163656972921,"positive",5.45005062064733
"109",190.049827215662,"positive",1.39877932959999
"110",190.166980677708,"positive",5.90256252389697
"111",191.054867726967,"positive",4.57388639108139
"112",192.058304286191,"positive",1.52052359659773
"113",193.122281743513,"positive",1.4837192777138
"114",194.065977945624,"positive",2.7025609424376
"115",194.103712690726,"positive",2.74674660582819
"116",196.094339672471,"positive",1.78405972516835
"117",196.094303160396,"positive",1.47454516648569
"118",197.096124777556,"positive",4.48545567371184
"119",201.163732296478,"positive",2.89736001064616
"120",202.107388401147,"positive",1.30608082019027
"121",203.034521039477,"positive",1.35631472338531
"122",203.139054538496,"positive",3.75882513326561
"123",203.179286436605,"positive",2.17717845742118
"124",203.232471905714,"positive",2.70880818984585
"125",203.992546878146,"positive",2.01892544737591
"126",204.029360514118,"positive",2.53973046838761
"127",204.086582073384,"positive",2.92774962795876
"128",204.141747272111,"positive",5.15205614250399
"129",204.182618158654,"positive",1.3649831772765
"130",204.216982680117,"positive",2.524927268627
"131",205.089880223192,"positive",4.43698353626107
"132",205.12636316279,"positive",4.02124665539177
"133",206.081103042611,"positive",1.32958816186119
"134",206.090403644318,"positive",5.4302352085057
"135",206.11749721289,"positive",2.1899291256072
"136",206.127001821741,"positive",1.4078587609119
"137",206.138714008775,"positive",1.74440726368035
"138",208.07155740796,"positive",1.69704601033585
"139",211.107682401523,"positive",2.89736001064616
"140",212.098738752695,"positive",2.9409577563923
"141",213.163386970619,"positive",1.80369839985578
"142",215.179119525563,"positive",2.48178308405725
"143",215.179224191278,"positive",6.4487253456453
"144",215.17931708076,"positive",3.81092861990893
"145",216.182576938375,"positive",5.56647924708328
"146",217.154531918535,"positive",1.40449313168896
"147",217.194861676167,"positive",5.90398933570334
"148",218.138582044857,"positive",5.92698187782088
"149",219.133850594158,"positive",2.90135462195852
"150",219.1418700093,"positive",4.82914408876911
"151",220.142955793704,"positive",1.94070486844296
"152",222.097058551873,"positive",4.80113495261435
"153",223.097423660339,"positive",1.77972286336936
"154",225.086902250134,"positive",1.51209662202883
"155",226.081981447756,"positive",1.70671625378023
"156",226.082093942542,"positive",2.10117535994849
"157",226.107327793199,"positive",3.08945074077802
"158",227.085315898928,"positive",2.17557060563956
"159",227.110700437425,"positive",2.47390666620674
"160",227.179143149758,"positive",6.36362636100966
"161",228.146091459709,"positive",4.02124665539177
"162",229.066438155477,"positive",1.30784046149206
"163",229.096901150321,"positive",1.47065295814216
"164",229.194810663356,"positive",5.2426462408752
"165",229.230015972786,"positive",1.68533008587883
"166",230.081112308917,"positive",1.5867956174517
"167",230.198249845585,"positive",4.75439631918617
"168",231.121996612892,"positive",2.64372754474516
"169",231.170157538091,"positive",4.4460767554707
"170",231.210457958526,"positive",7.2734101634454
"171",231.210460374759,"positive",2.34677717694491
"172",232.154150520127,"positive",2.08610886626483
"173",232.173516960947,"positive",1.97555377057181
"174",233.112989083231,"positive",1.62101936470727
"175",233.189801678182,"positive",2.12595717466649
"176",234.133396832412,"positive",1.54404085589466
"177",234.158663927005,"positive",1.61004369842916
"178",235.161994167161,"positive",1.80082632686542
"179",240.102006321628,"positive",1.79725472168857
"180",243.133778280674,"positive",1.45851960139323
"181",244.147874626767,"positive",1.9496215942944
"182",244.136940478514,"positive",1.618369103666
"183",244.136922106038,"positive",2.65124901932538
"184",246.144463543693,"positive",1.36860157105602
"185",248.175135458226,"positive",1.92520564920046
"186",252.142418584149,"positive",1.67052594942835
"187",253.081560516601,"positive",1.30150939089337
"188",253.143483217187,"positive",1.32511442908219
"189",254.08078563491,"positive",1.80369839985578
"190",254.149713753375,"positive",1.96959357258092
"191",254.16142968604,"positive",4.24586873726456
"192",255.173781555502,"positive",1.72708016911753
"193",257.226009616243,"positive",5.84037270866433
"194",257.225914086265,"positive",3.93919541951257
"195",257.226032447863,"positive",6.39258443236533
"196",257.22609726489,"positive",8.87076891459613
"197",257.22611171337,"positive",7.21965280430068
"198",258.229429797272,"positive",3.75562232780637
"199",262.091975025757,"positive",1.57683907050242
"200",262.164629144721,"positive",1.56465702224005
"201",262.164483736183,"positive",1.46223112052963
"202",263.095280066689,"positive",1.57273676156366
"203",265.116006297337,"positive",1.71550555160453
