"","mz","polarity","p_value"
"1",71.4385728149841,"positive",3.04711165156691
"2",73.2717868930144,"positive",1.75904973323645
"3",81.069795355829,"positive",4.21083324188896
"4",93.0696406564484,"positive",5.44243081546502
"5",95.0853915981942,"positive",5.40446539582214
"6",96.0442797723783,"positive",2.94082082697939
"7",96.0887116342545,"positive",4.39797081316175
"8",98.0600329661703,"positive",1.35585117105349
"9",104.106999698802,"positive",1.99735088566974
"10",105.069969541621,"positive",4.78116985277632
"11",107.08521978638,"positive",2.29214327859742
"12",109.101011607698,"positive",2.42728762591856
"13",119.085289005201,"positive",1.89902479590075
"14",121.100973023714,"positive",4.07112864007864
"15",122.104313975182,"positive",2.1267180445878
"16",123.007445267805,"positive",3.85095876328945
"17",123.116608940838,"positive",3.47972490625845
"18",126.054912094308,"positive",1.77687913365412
"19",135.116706865059,"positive",6.26842497202755
"20",136.120153962895,"positive",4.79410614581441
"21",138.054934482211,"positive",3.0974792477507
"22",139.05825107312,"positive",2.55472103394651
"23",140.059202904385,"positive",1.52213558285317
"24",141.018150601175,"positive",4.13536265088186
"25",144.065516487501,"positive",2.27221845797714
"26",145.068845626361,"positive",1.36671587791184
"27",145.097169522923,"positive",2.76129244769202
"28",147.116746274731,"positive",4.03695153219113
"29",149.043268781426,"positive",2.42728762591856
"30",149.132442091562,"positive",5.44243081546502
"31",150.135785611506,"positive",4.2280682566659
"32",155.033814344993,"positive",2.87639620881081
"33",157.064931882435,"positive",3.62882568774158
"34",159.028722643953,"positive",4.75859568808763
"35",160.032094243528,"positive",4.07303656627491
"36",160.133159300855,"positive",1.43381776154343
"37",161.136441389699,"positive",1.37827402006167
"38",161.132410821874,"positive",4.67901795597595
"39",163.147927714183,"positive",5.27170933438884
"40",165.163693351038,"positive",3.24009891369926
"41",166.003327486521,"positive",2.07635323475121
"42",166.072320833437,"positive",1.40416956737043
"43",167.075353600874,"positive",1.40988061204936
"44",168.065482998686,"positive",2.42728762591856
"45",169.068837661181,"positive",1.88704242487436
"46",172.057172555789,"positive",2.08698311326448
"47",175.148054606897,"positive",5.29580401686224
"48",176.151398526813,"positive",4.07303656627491
"49",177.163684757906,"positive",2.25887075723432
"50",180.087958658175,"positive",2.01009235709072
"51",186.076100441217,"positive",2.62681262218232
"52",187.079353829387,"positive",2.23551656306916
"53",187.14803805469,"positive",2.08698311326448
"54",189.163656972921,"positive",5.17637294057928
"55",190.166980677708,"positive",4.97715482129122
"56",191.054867726967,"positive",2.98405281549059
"57",197.096124777556,"positive",1.35804280759831
"58",201.163732296478,"positive",1.55610301775698
"59",203.139054538496,"positive",1.95518569581618
"60",203.179286436605,"positive",1.79444565572908
"61",204.029360514118,"positive",1.71312352721581
"62",204.086582073384,"positive",2.18196064524132
"63",204.141747272111,"positive",4.26059618963471
"64",204.216982680117,"positive",1.87323557480633
"65",205.089880223192,"positive",1.92410455540255
"66",205.12636316279,"positive",1.51482766158974
"67",206.090403644318,"positive",2.75659173351504
"68",206.11749721289,"positive",1.59277098223849
"69",211.107682401523,"positive",1.83734901224176
"70",215.179119525563,"positive",2.11013556768264
"71",215.179224191278,"positive",4.79410614581441
"72",216.182576938375,"positive",2.79695399236035
"73",217.194861676167,"positive",4.39797081316175
"74",218.138582044857,"positive",2.94617244817384
"75",219.1418700093,"positive",3.07165917906639
"76",220.142955793704,"positive",1.93729620221249
"77",222.097058551873,"positive",2.73128993802177
"78",222.095422495538,"positive",1.61268975097863
"79",227.179143149758,"positive",2.14567852142035
"80",228.146091459709,"positive",2.77836246382832
