"(10,16]","(16,18]","(18,20]","(20,22]","(22,24]","(24,26]","(26,28]","(28,30]","(30,32]","(32,34]","(34,36]","(36,38]","(38,42]","PP","metabolite","cluster","membership"
-1.35812996680191,-1.22698388827243,-0.819597337943454,-0.663369793749611,-0.496575105061565,-0.431452992138442,0.0245805160241042,-0.0318812648329711,-0.0608954918648683,0.29139500441798,0.906678627576242,1.86993917882422,1.9211536347954,0.0751388790273001,"M495T486_POS",2,0.999989562879344
-1.56537962105093,-1.36713045680906,-0.778755239120776,-0.663268861755309,-0.561474148540712,-0.485341715767666,0.201279615858415,0.307200712026741,0.217453385278338,0.775729447311996,0.900902003474529,1.49063614389761,1.78832485621471,-0.260176121017891,"M430T547_POS",2,0.999999367417909
-1.09803454460934,-1.08084036255866,-0.903878182920048,-0.806238646118202,-0.581523196546935,-0.575634578038324,0.0073636548102301,-0.194849187443045,0.013670875902508,0.430514733595357,0.795302246060034,1.80614219362743,2.08840554879244,0.0995994454465606,"M333T523_POS",2,0.999986514725203
-1.13061781189311,-1.3324261099345,-0.936684453473237,-0.773121973527463,-0.66316915408041,-0.430504042229674,0.291477037199313,0.181048595916181,0.0825536740201238,0.453423480311786,0.685181170813032,1.73992755583112,1.99797619663894,-0.165064165592093,"M321T553_POS",2,0.999997684630719
-1.52200786511969,-1.35936291670745,-0.80341879757297,-0.67678704500031,-0.522066578281785,-0.518272163972688,0.224430638116048,0.253218892112499,0.11697351706942,0.776313620832247,0.851849505216751,1.48229960975296,1.87253219516789,-0.17570261161292,"M465T548_POS",2,0.999998756104241
-1.03788232991196,-1.00040716893899,-0.330948707365954,-0.550493681189732,-0.359633987410749,-0.180065951735906,0.299253040660615,0.531280860365728,0.594214457022408,0.821475294317448,1.02892922874004,1.24135573738603,1.17286775222246,-2.22994454416144,"M299T677_POS",2,0.999999843088527
-0.796301889450015,-1.18654537054633,-0.850484817094542,-0.626264751916561,-0.573258154810731,-0.621894088925691,-0.0903198787307167,-0.151400662182273,-0.184452957947534,0.16351161813909,0.861816355828609,2.00565870637063,2.06630185227984,-0.0163659610137703,"M496T486_POS",2,0.999977983612694
-1.32385846523304,-1.28645034295063,-0.569444017641005,-0.758230610790309,-0.611425486547517,-0.412049390350982,0.230437940821212,0.514068063457692,0.58309925495154,0.855540292502629,1.18433880652307,1.4614100619467,1.33378981304905,-1.20122591973841,"M300T677_POS",2,0.99999999473041
-1.74742647711324,-1.46535609046343,-0.850499910960275,-0.531632897313568,-0.394732156793771,-0.268699813409902,0.339819501548606,0.420623805742507,0.19070328558433,0.816509990361372,0.775620037576716,1.37113338960497,1.71721996557398,-0.373282629938287,"M482T549_POS",2,0.999999183451893
-1.58615815454092,-1.39412294063528,-0.915064173663183,-0.599595292064259,-0.494787691443971,-0.394672600911259,0.245099533911061,0.318996247896057,0.0799784569767659,0.811072127849781,0.771841634598412,1.44161128123366,1.85063645247458,-0.134834881681445,"M483T549_POS",2,0.999998233077498
-1.54643165868314,-1.24028891089225,-0.683299581301451,-0.408040586496722,-0.190321296753961,-0.197499784376859,0.358149741476354,0.599330779831163,0.492417528878533,0.888174129954258,0.946496386086936,0.979319523571698,1.58021940871388,-1.57822568000843,"M271T549_2_POS",2,0.999999939243343
-1.37180448388857,-1.19777920659517,-0.673410418526177,-0.573602010953241,-0.615452085262176,-0.358348694796246,0.0792640077498491,0.4623157287015,0.692324850760071,0.863036522417276,1.15810314504411,1.49392358471702,1.31989665884211,-1.27846759821035,"M281T676_POS",2,0.999999994483624
-1.31037510177575,-0.983441347992218,-0.560440939792369,-0.291217266977257,-0.245368840135202,-0.133689721320423,0.345525418512778,0.406591461403842,0.405729228579989,0.866933456049833,0.641234140505366,1.18594821846711,1.67566413206901,-2.00309283759471,"M487T549_POS",2,0.99999977312503
-0.895239309766743,-1.03624180604966,-0.543216764611534,-0.418274526419951,-0.481389152197194,-0.265186214155081,0.192490309167481,0.534098238960096,0.639707439082014,0.73440961169974,1.12558251518396,1.31427757422109,1.23495500010874,-2.13597291522295,"M317T673_POS",2,0.999999942606803
-0.996321517825942,-1.55028827412632,-1.05702502353814,-0.478388864594705,-0.816826354440964,-0.316191350259277,0.169231574741081,0.51406759770892,0.34710820356023,0.831510394860515,1.03908877381657,1.52414793830101,1.55060734918897,-0.76072044739194,"M257T769_POS",2,0.99999994706002
-0.810952518124231,-1.12262038930886,-0.760166725030761,-0.717865959274568,-0.458401368097078,-0.391842756737584,0.00743674073967304,0.0791259777600181,-0.102471870048136,0.458730612730563,0.812142084507627,1.96119020803583,1.99685436263236,-0.951158399784853,"M319T534_POS",2,0.999999112934102
-0.824554660864204,-0.773656603580404,-0.82381167514395,-0.696733168769315,-0.690113769664655,-0.653806572612627,-0.242996700643634,-0.198785491169626,-0.0236758355358567,0.710534744640979,0.442458860430617,1.57218317765326,2.50784258250951,-0.304884887250091,"M503T515_POS",2,0.999983218995986
-1.31159082326808,-1.05555226251117,-0.653441195888106,-0.374312716761668,-0.386442912612334,-0.251642579163909,0.258108951771249,0.296807590916932,0.325610884987271,0.90300864764651,0.540534412543734,1.29120791207514,1.97845449973022,-1.56075040946579,"M488T549_POS",2,0.999999853368988
-0.953184310664495,-0.834541324875643,-0.824040350450145,-0.743697151599506,-0.799881638284865,-0.539220865427125,-0.325624252275887,-0.0876055436663306,0.588618790554531,0.594853094156082,1.48218645978711,1.87957210196549,1.40608178323508,-0.843516792454294,"M530T673_POS",2,0.999999662881377
