mz-peak	PIUMet-ID	Metabolite-Name	HMDB-ID	origin	super-class	Cellular-location	monisotopic-moleculate-weight	Chemical-formula
m/z=252.11798078	met63877	Epoxy-hexobarbital	HMDB0013941	Drug metabolite|Endogenous	Organic compounds	Extracellular	252.11100701	C12H16N2O4
m/z=252.11798078	met56828	Phenylalanyl-Serine	HMDB0029004	Endogenous	Organic compounds	NULL	252.11100701	C12H16N2O4
m/z=252.11798078	met32546	Serinyl-Phenylalanine	HMDB0029046	Endogenous	Organic compounds	NULL	252.11100701	C12H16N2O4
m/z=252.11798078	met73545	(1Z,4Z)-1,5-bis(4-hydroxyphenyl)-1,4-pentadiene	HMDB0033317	Food	Organic compounds	Membrane	252.11502976	C17H16O2
m/z=252.11798078	met23375	2,3-Butanediol glucoside	HMDB0040822	Food	Organic compounds	Cytoplasm|Extracellular	252.12090299	C10H20O7
m/z=252.11798078	met61212	Histidinyl-Proline	HMDB0028893	Endogenous	Organic compounds	NULL	252.1222404	C11H16N4O3
m/z=252.11798078	met47644	2-Phenylethyl 3-phenyl-2-propenoate	HMDB0035018	Food	Phenylpropanoids and polyketides	Membrane	252.11502976	C17H16O2
m/z=252.11798078	met39435	3-Hydroxyhexobarbital	HMDB0013940	Drug metabolite|Endogenous	Organic compounds	Extracellular	252.11100701	C12H16N2O4
m/z=252.11798078	met18466	Tyrosyl-Alanine	HMDB0029098	Endogenous	Organic compounds	NULL	252.11100701	C12H16N2O4
m/z=252.11798078	met26160	Cinnamyl phenylacetate	HMDB0037707	Food	Organic compounds	Membrane	252.11502976	C17H16O2
m/z=252.11798078	met34861	Alanyl-Tyrosine	HMDB0028699	Endogenous	Organic compounds	NULL	252.11100701	C12H16N2O4
m/z=252.143483217	met42217	2,2,4,4-Tetramethyl-6-(1-oxobutyl)-1,3,5-cyclohexanetrione	HMDB0033197	Endogenous|Food	Organic compounds	Extracellular|Membrane	252.13615913	C14H20O4
m/z=252.143483217	met35870	3alpha-Hydroxyoreadone	HMDB0036047	Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	252.13615913	C14H20O4
m/z=254.083764012	met27528	L-Phosphoarginine	HMDB0029438	Endogenous|Food	Organic acids and derivatives	Cytoplasm|Extracellular	254.07800612	C6H15N4O5P
m/z=254.083764012	met137	L-Agaridoxin	HMDB0029445	Endogenous|Food	Organic acids and derivatives	Cytoplasm|Extracellular	254.09027157	C11H14N2O5
m/z=254.210438354	met72585	18-Nor-4(19),8,11,13-abietatetraene	HMDB0041371	Food	Organic compounds	Membrane	254.20345083	C19H26
m/z=254.210384647	met72585	18-Nor-4(19),8,11,13-abietatetraene	HMDB0041371	Food	Organic compounds	Membrane	254.20345083	C19H26
m/z=256.226009385	met12628	9-Decenoylcholine	HMDB0013206	Endogenous	Organic compounds	NULL	256.22765421	C15H30NO2
m/z=256.226009616	met12628	9-Decenoylcholine	HMDB0013206	Endogenous	Organic compounds	NULL	256.22765421	C15H30NO2
m/z=256.225914086	met12628	9-Decenoylcholine	HMDB0013206	Endogenous	Organic compounds	NULL	256.22765421	C15H30NO2
m/z=256.226032448	met12628	9-Decenoylcholine	HMDB0013206	Endogenous	Organic compounds	NULL	256.22765421	C15H30NO2
m/z=256.226097265	met12628	9-Decenoylcholine	HMDB0013206	Endogenous	Organic compounds	NULL	256.22765421	C15H30NO2
m/z=256.226111713	met12628	9-Decenoylcholine	HMDB0013206	Endogenous	Organic compounds	NULL	256.22765421	C15H30NO2
m/z=256.226113578	met12628	9-Decenoylcholine	HMDB0013206	Endogenous	Organic compounds	NULL	256.22765421	C15H30NO2
m/z=259.111692725	met6906	Osmaronin	HMDB0032769	Food	Organic compounds	Cytoplasm|Extracellular	259.10558728	C11H17NO6
m/z=259.111692725	met59981	Hydroxyprolyl-Gamma-glutamate	HMDB0028877	Endogenous	Organic compounds	NULL	259.11682067	C10H17N3O5
m/z=259.111692725	met71527	Hydroxyprolyl-Glutamine	HMDB0028861	Endogenous	Organic compounds	NULL	259.11682067	C10H17N3O5
m/z=259.111692725	met2764	Glutaminyl-Hydroxyproline	HMDB0028798	Endogenous	Organic compounds	NULL	259.11682067	C10H17N3O5
m/z=259.111692725	met25268	Fumarycarnitine	HMDB0013134	Endogenous|Food	Organic compounds	Extracellular|Membrane	259.10558728	C11H17NO6
m/z=259.111692725	met3912	Linatine	HMDB0038516	Food	Organic compounds	Cytoplasm|Extracellular	259.11682067	C10H17N3O5
m/z=259.111692725	met34656	Gamma-glutamyl-Hydroxyproline	HMDB0029150	Endogenous	Organic compounds	NULL	259.11682067	C10H17N3O5
m/z=261.128282948	met4725	Lotaustralin	HMDB0033865	Food	Organooxygen compounds	Cytoplasm|Extracellular	261.12123734	C11H19NO6
m/z=261.128282948	met5423	Epidermin	HMDB0034777	Drug metabolite|Food	Organic compounds	Cytoplasm|Extracellular	261.12123734	C11H19NO6
m/z=261.128282948	met30957	Alpha-Aspartyl-lysine	HMDB0004987	Food	Organic compounds	Cytoplasm (predicted from logP)	261.13247073	C10H19N3O5
